"","X.2","X.1","X","X.x","full_plant_ID","chamber","treatment","replicate","unique_id","disc_wet_weight","focal_dry_weight","stem_dry_weight","total_leaves_dry_weight","above_biomass_dry_weight","root_biomass_dry_weight","area_focal","disc_area","total_leaf_area","combined_leaf_areas","SLA_focal.x","machine","photo_resp_20","anet_420_20","ci_420_20","gsw_420_20","vpd_leaf_20","temperature_leaf_20","vcmax_tleaf_20","vcmax_tleaf_se_20","jmax_tleaf_20","jmax_tleaf_se_20","rd_tleaf_20","rd_tleaf_se_20","aci_RMSE_20","aci_ci_transistion_20","aci_ci_transition_set_20","aci_km_20","aci_gammastar_20","aci_fitmethod_20","aci_tcorrect_20","aci_fittpu_20","photo_resp_25","anet_420_25","ci_420_25","gsw_420_25","vpd_leaf_25","temperature_leaf_25","vcmax_tleaf_25","vcmax_tleaf_se_25","jmax_tleaf_25","jmax_tleaf_se_25","rd_tleaf_25","rd_tleaf_se_25","aci_RMSE_25","aci_ci_transistion_25","aci_ci_transition_set_25","aci_km_25","aci_gammastar_25","aci_fitmethod_25","aci_tcorrect_25","aci_fittpu_25","photo_resp_31","anet_420_31","ci_420_31","gsw_420_31","vpd_leaf_31","temperature_leaf_31","vcmax_tleaf_31","vcmax_tleaf_se_31","jmax_tleaf_31","jmax_tleaf_se_31","rd_tleaf_31","rd_tleaf_se_31","aci_RMSE_31","aci_ci_transistion_31","aci_ci_transition_set_31","aci_km_31","aci_gammastar_31","aci_fitmethod_31","aci_tcorrect_31","aci_fittpu_31","X.y","chlA.ugml","chlB.ugml","chlA.gml","chlB.gml","chlA.g","chlB.g","chlA.gm2","chlB.gm2","chlA.mmolm2","chlB.mmolm2","chl.mmolm2","chlA.chlB","Ambient.Humidity_dark","Ambient.Temperature_dark","ECSt.mAU_dark","gH._dark","Leaf.Angle_dark","Leaf.Temperature.Differential_dark","LEF_dark","Light.Intensity..PAR._dark","NPQt_dark","Phi2_dark","PhiNO_dark","PhiNPQ_dark","PS1.Active.Centers_dark","PS1.Open.Centers_dark","PS1.Over.Reduced.Centers_dark","PS1.Oxidized.Centers_dark","Relative.Chlorophyll_dark","Thickness_dark","vH._dark","time_dark","Trifoliate.set._dark","Ambient.Humidity_light","Ambient.Temperature_light","ECSt.mAU_light","gH._light","Leaf.Angle_light","Leaf.Temperature.Differential_light","LEF_light","Light.Intensity..PAR._light","NPQt_light","Phi2_light","PhiNO_light","PhiNPQ_light","PS1.Active.Centers_light","PS1.Open.Centers_light","PS1.Over.Reduced.Centers_light","PS1.Oxidized.Centers_light","Relative.Chlorophyll_light","Thickness_light","vH._light","time_light","Trifoliate.set._light","resp_20","resp_25","resp_31","c13","total_c","n15","total_n","weight_mg","nitrogen_g.g","SLA_focal.y","nitrogen_area"
"1",1,1,1,1,"6.HTVHLV.1.1",6,"HTVHLV",1,1,0.0464,0.1157,1.08,1.58,2.7757,NA,30.634,3.086,440.58,474.3,264.7709594,"ozzie","photosynthesis",9.812462364,368.0748752,0.607567666,1.232280454,20.01872319,27.55933569,0.694762166,62.37778375,NA,1.33859658,0.171007625,2.958568501,425.803937,275,462.2817058,32.9853225,"bilinear",FALSE,FALSE,"photosynthesis",10.35854291,284.4220747,0.153581212,1.763500813,25.00844062,49.82161878,1.164474927,83.89948517,NA,1.782265103,0.242834348,2.727268986,346.280834,NA,710.840237,42.76851605,"bilinear",FALSE,FALSE,"photosynthesis",11.17073833,301.1520766,0.211455606,2.45622444,31.03008082,73.84363765,1.034224681,91.91420279,NA,0.864380044,0.138231083,2.013087567,348.9532839,NA,1195.186485,57.85342262,"bilinear",FALSE,FALSE,1,3.556643333,1.021996667,3.56e-06,1.02e-06,3.56e-05,1.02e-05,0.115250918,0.033117196,0.128986713,0.036493984,0.165480698,3.48009289,43.656,23.14,0.00351,0.305,1.711,-0.03,0.2963304,1.224,1.072,0.538,0.223,0.239,0.816,0.299,0.283,0.417,36.59,1.43,0.001,"7/13/2024 14:36",4,55.191,25.89,6e-04,147.433,4.762,-2.08,149.256261,2153.77,1.703,0.154,0.313,0.533,1.759,1.223,-0.328,0.106,37.7,1.22,0.088,"7/13/2024 10:00",4,-1.05446430683333,-1.6501315505,-2.25342942433333,-31.77,939.23,22.45,105.8,2.048,0.05166015625,264.7709594,0.000195112622498584
"2",2,2,2,2,"6.HTVHLV.1.2",6,"HTVHLV",1,2,0.047,0.1072,0.92,1.43,2.4572,NA,29.788,3.039,390.16,422.987,277.8731343,"yadi","photosynthesis",12.34642411,244.5363528,0.132417394,1.242889993,19.99977687,51.29253342,1.33541555,105.7019148,NA,3.167614949,0.357926778,3.51894932,322.261775,NA,461.5273842,32.9522355,"bilinear",FALSE,FALSE,"photosynthesis",16.04601965,290.268988,0.274473321,1.659218928,24.99024525,68.1578937,1.156210269,113.9096398,NA,1.163858048,0.237540565,3.225990638,330.9970355,NA,709.725306,42.72871101,"bilinear",FALSE,FALSE,"photosynthesis",17.32932949,290.8010469,0.323013534,2.264151453,31.01102982,104.1884829,1.549606067,125.4517738,NA,-0.550611097,0.207735745,4.015671197,317.6627144,NA,1193.216431,57.79912145,"bilinear",FALSE,FALSE,12,3.494466667,1.008163333,3.49e-06,1.01e-06,3.49e-05,1.01e-05,0.114987386,0.03317418,0.128691773,0.036556779,0.165248552,3.466171156,39.608,25.08,3e-05,-2536.737,5.561,0.21,0.4292433,1.614,1.004,0.591,0.204,0.205,1.381,0.315,0.41,0.275,42.3,1.22,-0.076,"7/12/2024 13:49",4,50.701,26.6,0.00078,87.24,2.243,0.39,175.1018877,2005.749,0.597,0.194,0.504,0.301,2.472,0.838,-0.311,0.472,41.2,0.73,0.068,"7/12/2024 8:23",4,-0.854907680166667,-1.19713475975,-1.72581919475,-32.5,915.13,17.32,105.28,1.994,0.0527983951855567,277.8731343,0.000190008995718722
"3",3,3,3,3,"6.HTVHLV.1.3",6,"HTVHLV",1,3,0.0387,0.0934,1.04,1.62,2.7534,NA,29.862,2.92,454.62,487.402,319.7216274,"yadi","photosynthesis",12.84330809,357.2383308,0.642318262,1.23054279,20.01079167,37.78126374,0.980786267,87.5559393,NA,1.79674273,0.340625913,3.905813813,440.7291674,NA,461.9682775,32.97152611,"bilinear",FALSE,FALSE,"photosynthesis",14.86896565,280.2412878,0.225156163,1.669436973,25.003988,68.42334959,0.849809072,112.3661576,NA,1.548723771,0.169104757,3.462807631,319.9856719,NA,710.5650235,42.75873166,"bilinear",FALSE,FALSE,"photosynthesis",16.1907935,285.790603,0.279235795,2.303421256,31.01539704,111.264622,1.454537218,136.6898589,NA,1.178716439,0.184201913,2.767335612,326.8417926,NA,1193.665471,57.81153401,"bilinear",FALSE,FALSE,23,3.189333333,0.902346667,3.19e-06,9.02e-07,3.19e-05,9.02e-06,0.109223744,0.030902283,0.122241211,0.034053228,0.156294439,3.534487854,42.839,22.63,0.00066,0.663,4.378,-0.2,0.3825063,1.458,0.714,0.583,0.243,0.174,1.117,0.335,0.384,0.281,40.62,0.27,0,"7/16/2024 15:09",5,45.561,26.3,7e-04,57.547,3.993,-0.63,50.0206788,646.262,0.467,0.172,0.565,0.263,1.706,0.444,0.065,0.491,40.5,0.22,0.04,"7/16/2024 8:01",5,-1.28305605608333,-1.7093002035,-2.4171743315,-31.58,922.02,21.47,119.05,1.992,0.0597640562248996,319.7216274,0.000186925284695018
"4",4,4,4,4,"6.HTVHLV.1.4",6,"HTVHLV",1,4,0.0466,0.1392,1.09,1.7,2.9292,NA,33.982,3.138,473.92,511.04,244.1235632,"ozzie","photosynthesis",10.42686407,351.6951583,0.395707473,1.25618399,20.00618152,30.67841853,0.416497231,73.59773201,NA,1.814879289,0.147836912,2.488353055,490.6095982,NA,461.7823028,32.96341857,"bilinear",FALSE,FALSE,"photosynthesis",6.910293477,275.4513732,0.0904952,1.809301886,24.9927592,38.99896794,1.020401853,75.54580605,NA,2.380403105,0.203885203,5.461321556,471.5583029,300,709.8781767,42.73418907,"bilinear",FALSE,FALSE,"photosynthesis",7.675555913,254.645923,0.089253848,2.52592968,30.99571023,64.43134515,1.198302314,86.69549501,NA,1.150450486,0.157719451,4.247866382,405.0158546,NA,1191.640126,57.75556426,"bilinear",FALSE,FALSE,34,4.283136667,1.264843333,4.28e-06,1.26e-06,4.28e-05,1.26e-05,0.136492564,0.040307308,0.152759974,0.044417235,0.197177209,3.386298171,41.583,23.41,3e-05,427.409,6.693,-0.6,0.3568644,1.384,0.721,0.573,0.248,0.179,1.01,0.168,0.45,0.382,41.23,1.5,0.013,"7/12/2024 14:48",4,52.221,25.16,0.00076,178.797,3.89,-0.35,408.4938324,2140.953,0.357,0.424,0.424,0.152,6.899,0.105,0.142,0.752,41.02,1.37,0.136,"7/12/2024 9:48",4,-1.267102599,-1.99364643391667,-2.82165962291667,-31.41,917.43,23.64,106.1,1.99,0.0533165829145729,244.1235632,0.000218399986530153
"5",5,5,5,5,"6.HTVHLV.1.5",6,"HTVHLV",1,5,0.0427,0.112,1.16,1.76,3.032,NA,31.733,3.002,491.48,526.215,283.3303571,"ozzie","photosynthesis",9.517678178,233.377724,0.092764882,1.33874288,20.00465818,57.96456287,4.805815289,114.7022487,NA,7.822969807,1.405647406,13.07868806,290.2250492,NA,461.7229365,32.96078822,"bilinear",FALSE,FALSE,"photosynthesis",12.54483636,306.3439469,0.24398609,1.709052474,25.00990519,51.15767058,1.338552144,87.64338929,NA,1.130240515,0.294423963,3.259095037,357.968407,NA,710.9317755,42.77175302,"bilinear",FALSE,FALSE,"photosynthesis",12.75581409,314.4847086,0.297793497,2.358351258,31.02618439,66.92955395,1.112109559,82.33311024,NA,-1.309585954,0.147217312,2.42533933,343.6775529,NA,1194.78353,57.84231626,"bilinear",FALSE,FALSE,45,3.762953333,1.082176667,3.76e-06,1.08e-06,3.76e-05,1.08e-05,0.125348212,0.036048523,0.14028742,0.039724204,0.180011623,3.477207973,42.26,25.22,2e-05,-877.871,2.231,0.17,0.2759841,1.234,1.173,0.497,0.232,0.272,0.992,0.286,0.316,0.398,42.03,0.37,-0.018,"7/14/2024 13:50",4,51.63,23.94,6e-04,163.801,6.644,-0.79,104.6219328,691.944,0.372,0.336,0.484,0.18,1.304,1.248,0.005,-0.252,42.57,1.21,0.098,"7/14/2024 7:54",4,-0.795292780916667,-1.34041604558333,-1.74487205441667,-32.27,957.58,23.8,125.22,2.049,0.061112737920937,283.3303571,0.000215694281920407
"6",6,6,6,6,"6.HTVLLV.1.6",6,"HTVLLV",1,6,0.0352,0.2045,3.34,4,7.5445,NA,45.717,2.853,834.5,883.07,223.5550122,"gibson","photosynthesis",18.29165935,295.8633275,0.338135922,1.328462668,19.98088831,66.58235082,0.868642361,141.8513433,NA,4.93764814,0.259882842,2.427396648,334.4390569,NA,460.7776959,32.9193038,"bilinear",FALSE,FALSE,"photosynthesis",21.01718009,271.7507182,0.324851771,1.776407826,24.99860615,109.5512046,0.88346301,184.1639086,NA,4.469856062,0.177368532,3.738887856,311.0610235,NA,710.2358744,42.74696955,"bilinear",FALSE,FALSE,"photosynthesis",22.27313583,265.2320215,0.34473182,2.529561698,31.01735494,170.9709389,1.18265465,214.2327122,NA,2.334142735,0.142970968,2.479023797,312.5505876,NA,1193.884656,57.81734423,"bilinear",FALSE,FALSE,56,3.26025,0.93285,3.26e-06,9.33e-07,3.26e-05,9.33e-06,0.114274448,0.032697161,0.127893866,0.03603112,0.163924986,3.494934877,44.631,24.39,6e-05,137.817,2.624,-0.8,1.11177765,3.693,0.448,0.669,0.229,0.103,1.341,0.131,0.567,0.302,47.14,1.38,0.008,"7/8/2024 16:00",4,53.575,27.04,0.00137,127.666,1.169,-0.51,429.8053442,3498.619,0.837,0.273,0.396,0.331,2.847,-0.021,-0.138,1.159,49.18,1.29,0.175,"7/8/2024 11:10",4,-1.07122417891667,-1.61061264075,-2.35801585941667,-31.39,887.56,19.72,92.22,1.921,0.0480062467464862,223.5550122,0.000214740194254907
"7",7,7,7,7,"6.HTVLLV.1.7",6,"HTVLLV",1,7,0.039,0.1417,1.64,2.28,4.0617,NA,34.198,2.561,564.77,601.529,241.340861,"gibson","photosynthesis",15.19881488,269.369081,0.205231329,1.335942828,19.99625283,67.47695382,2.129261726,139.0694693,NA,6.676432539,0.593764022,4.837022864,310.4861196,NA,461.3896954,32.94614231,"bilinear",FALSE,FALSE,"photosynthesis",17.97040451,282.0507593,0.293413486,1.809819055,25.02667657,88.7527345,1.427828592,149.7304255,NA,3.526842328,0.294516769,4.383968699,326.7642487,NA,711.9626218,42.80850098,"bilinear",FALSE,FALSE,"photosynthesis",14.10560588,241.7893841,0.161075053,2.549036351,31.00025607,145.1815741,4.625450577,179.1117939,NA,4.537743477,0.524963611,6.21706076,315.2180138,NA,1192.109299,57.76850883,"bilinear",FALSE,FALSE,58,2.858133333,0.842046667,2.86e-06,8.42e-07,2.86e-05,8.42e-06,0.111602239,0.032879604,0.124903178,0.036232167,0.161135345,3.394269518,46.342,22.92,5e-05,-10057.24,0.968,0.27,0.33607035,1.113,0.596,0.671,0.206,0.123,1.09,0.294,0.532,0.174,41.29,1.43,-0.503,"7/9/2024 14:15",3,49.211,24.41,0.00038,179.852,1.893,0.02,172.4327595,1252.235,0.362,0.306,0.51,0.185,2.145,1.133,0.102,-0.235,40.33,1.45,0.068,"7/9/2024 7:45",3,-1.11700575641667,-1.66131081941667,-2.35067009333333,-32.17,933.5,22.05,91.19,2.051,0.0444612384202828,241.340861,0.000184225904540395
"8",8,8,8,8,"6.HTVLLV.1.8",6,"HTVLLV",1,8,0.0425,0.1187,1.2,1.81,3.1287,NA,33.337,3.145,493.54,530.022,280.8508846,"gibson","photosynthesis",13.55664767,294.5129989,0.226871367,1.35205151,20.00363241,51.65603489,1.266606614,108.6220822,NA,4.466583287,0.389052536,3.945710685,337.3352973,NA,461.681861,32.95899135,"bilinear",FALSE,FALSE,"photosynthesis",15.44891149,291.6032147,0.26851974,1.80843556,25.024073,70.56419618,0.871053856,120.1234912,NA,2.218581828,0.184733447,5.318151895,343.1717844,NA,711.8040336,42.80282261,"bilinear",FALSE,FALSE,"photosynthesis",16.48200074,313.5324984,0.423185164,2.46041197,31.04870657,103.7376995,1.132203049,131.0430352,NA,1.181902302,0.155464241,3.139058948,347.6864584,NA,1197.10392,57.90639291,"bilinear",FALSE,FALSE,59,3.48864,0.99705,3.49e-06,9.97e-07,3.49e-05,9.97e-06,0.11092655,0.031702703,0.12414696,0.034935263,0.159082222,3.498961938,41.664,24.77,6e-05,31.374,4.233,0.76,0.417384,1.496,0.781,0.62,0.213,0.166,1.377,0.244,0.474,0.281,41.35,0.64,0.002,"7/15/2024 13:47",4,48.453,24.85,0.00084,170.143,2.826,0.14,199.5362064,1458.598,0.39,0.304,0.501,0.195,2.075,0.979,-0.46,0.481,40.84,0.62,0.143,"7/15/2024 8:03",4,-0.900335725916667,-1.26273828391667,-1.86835332783333,-32.41,942.67,19.71,106.72,2.043,0.0522369065100343,280.8508846,0.000185995164602854
"9",9,9,9,9,"6.HTVLLV.1.9",6,"HTVLLV",1,9,0.0319,0.0957,1.06,1.62,2.7757,NA,31.13,2.589,464.49,498.209,325.2873563,"gibson","photosynthesis",9.093611175,259.3276941,0.105690386,1.425433145,19.99253982,60.04092873,3.987273613,122.3123882,NA,9.885978499,1.223114278,10.16923097,307.7626492,NA,461.2401786,32.93961868,"bilinear",FALSE,FALSE,"photosynthesis",12.15945503,314.3102257,0.263695078,1.858396221,25.0143583,65.04917723,3.031675756,114.580659,NA,5.264893614,0.69867895,6.748985718,370.5156207,NA,711.2027513,42.78146013,"bilinear",FALSE,FALSE,"photosynthesis",12.23758226,325.8223708,0.348315371,2.576662013,31.02442373,75.50364476,0.819987439,98.26176008,NA,1.068459457,0.118166528,4.804460311,377.6617993,NA,1194.603868,57.83733084,"bilinear",FALSE,FALSE,60,3.101473333,0.810956667,3.1e-06,8.11e-07,3.1e-05,8.11e-06,0.119794258,0.031323162,0.134071536,0.034517022,0.168588558,3.824462466,40.351,25.01,5e-05,59.644,4.596,0.94,0.308286,1.384,1.278,0.495,0.222,0.284,0.851,0.403,0.226,0.37,41.91,0.28,0.003,"7/16/2024 13:59",5,48.916,26.24,0.00154,41.25,4.931,-0.67,69.7850046,1462.998,0.751,0.106,0.511,0.383,2.302,0.699,-0.106,0.407,44.13,0.46,0.064,"7/16/2024 7:57",5,-0.957526039083333,-1.40722085816667,-1.9942555655,-32.2,939.23,18.85,126.24,2.042,0.0618217433888345,325.2873563,0.000190052709370661
"10",10,10,10,10,"6.HTVLLV.1.10",6,"HTVLLV",1,10,0.0406,0.158,1.41,2.07,3.638,NA,33.428,2.673,476.28,512.381,211.5696203,"gibson","photosynthesis",16.64558279,282.7818235,0.258407415,1.329324883,19.99402013,65.4956554,1.503119515,140.1910213,NA,5.751115607,0.445434017,3.611644598,339.3577508,NA,461.2999703,32.94222378,"bilinear",FALSE,FALSE,"photosynthesis",18.51341247,273.4312938,0.279482278,1.757311222,24.98437564,100.2815476,1.680028099,171.1791266,NA,5.116185302,0.337387256,3.833232969,325.6108356,NA,709.3658295,42.71587376,"bilinear",FALSE,FALSE,"photosynthesis",18.56002046,274.8329654,0.299945525,2.489336449,31.07424813,148.3843671,1.478250845,186.3399234,NA,3.713112146,0.191687271,4.022772304,326.0528467,NA,1199.801018,57.97995858,"bilinear",FALSE,FALSE,2,3.22138,0.96347,3.22e-06,9.63e-07,3.22e-05,9.63e-06,0.120515526,0.036044519,0.134878765,0.039719792,0.174598557,3.34351874,38.455,25.88,5e-05,-5059.528,1.805,-1.27,0.37099125,1.225,0.489,0.673,0.219,0.107,1.318,0.191,0.528,0.281,44.76,1.47,-0.253,"7/11/2024 14:00",3,43.376,26.16,0.00059,324.194,19.144,-1.89,165.2925672,1208.279,0.391,0.304,0.5,0.195,1.806,0.925,0.018,0.057,44.1,0.71,0.191,"7/11/2024 7:46",3,-1.13465741258333,-1.70257223883333,-2.39376387158333,-31.32,895.6,15.18,71.64,2.005,0.0357306733167082,211.5696203,0.000168883761600759
