plant_id,c13,total_c,n15,total_n,weight_mg
1,-31.77,939.23,22.45,105.8,2.048
2,-32.5,915.13,17.32,105.28,1.994
3,-31.58,922.02,21.47,119.05,1.992
4,-31.41,917.43,23.64,106.1,1.99
5,-32.27,957.58,23.8,125.22,2.049
6,-31.39,887.56,19.72,92.22,1.921
7,-32.17,933.5,22.05,91.19,2.051
8,-32.41,942.67,19.71,106.72,2.043
9,-32.2,939.23,18.85,126.24,2.042
10,-31.32,895.6,15.18,71.64,2.005
11,-33.48,941.53,21.52,120.08,2.074
12,-32.74,949.55,16.22,108.78,2.068
13,-31.97,946.11,16.6,110.83,2.065
14,-33.08,900.2,19.21,109.81,1.968
15,-32.7,939.23,14.32,127.27,2.026
16,-32.71,918.58,19.75,130.35,1.977
17,-33.01,903.65,23.78,115.97,1.955
18,-32.63,922.02,14.64,132.4,1.984
19,-33.38,994.23,17.56,142.67,2.071
20,-34.2,909.39,17.62,115.97,1.981
21,-30.07,908.24,19.91,90.89,1.972
22,-32.6,922.02,15.41,126.24,1.968
23,-31.99,863.4,18.35,103.95,1.923
24,-29.97,936.94,23.26,99.63,2.026
25,-30.1,946.11,16.43,101.68,2.047
26,-31.17,889.86,19.91,92.74,1.969
27,-32.37,952.99,16.09,132.4,2.045
28,-31.87,902.5,18.4,110.83,1.945
29,-31.08,919.72,23.95,120.08,1.978
30,-30.53,956.43,14.57,108.78,2.083
31,-31.24,896.75,14.68,88.21,1.995
32,-32.42,947.26,16.98,111.86,2.045
33,-31.55,933.5,10.94,113.92,2.019
34,-31.79,964.45,9.95,117,2.087
35,-30.97,911.69,13.38,108.78,1.952
36,-31.8,909.39,10.24,106.41,1.945
37,-30.82,951.85,10.54,87.49,2.089
38,-31.64,880.66,16.4,92.12,1.911
39,-31.19,936.94,18.7,78.43,2.087
40,-32.55,920.87,12.82,109.81,1.965
41,-33.57,926.61,18.74,101.48,2.012
42,-33.07,903.65,9.72,94.18,1.952
43,-33.6,889.86,8.64,104.15,1.923
44,-34.04,919.72,10.14,104.87,2.01
45,-32.93,928.91,8.95,93.77,2.026
46,-33.26,933.5,16.37,93.97,2.051
47,-32.67,894.45,14.64,72.87,1.991
48,-33.15,902.5,14.52,86.05,1.981
49,-33.01,902.5,14.43,96.85,1.944
50,-33.42,962.16,12.43,104.77,2.075
51,-33.14,901.35,15.63,92.12,1.956
52,-32.62,959.87,14.43,94.18,2.092
53,-33.59,904.8,8.25,91.71,1.954
54,-34.03,891.01,9.43,87.49,1.944
55,-33.24,939.23,9.34,106.31,2.024
56,-33.02,859.95,13.36,69.89,2.012
57,-33.27,899.05,16.39,82.24,1.984
58,-32.39,910.54,6.65,83.79,1.969
59,-33.52,891.01,15.35,89.14,1.968
60,-33.75,930.05,11.91,96.85,2.022
