 ,abs_649,abs_665
,0.127,0.327
,0.126,0.329
,0.124,0.326
,0.119,0.31
,0.127,0.328
,0.125,0.327
,0.11,0.289
,0.114,0.297
,0.112,0.294
,0.151,0.389
,0.154,0.397
,0.154,0.398
,0.131,0.341
,0.133,0.347
,0.135,0.351
,0.112,0.293
,0.116,0.302
,0.117,0.305
,0.102,0.259
,0.102,0.265
,0.102,0.266
,0.121,0.317
,0.126,0.325
,0.122,0.321
,0.102,0.277
,0.108,0.286
,0.107,0.29
,0.113,0.292
,0.116,0.296
,0.118,0.303
,0.133,0.35
,0.139,0.361
,0.143,0.372
,0.141,0.365
,0.145,0.372
,0.139,0.363
,0.138,0.36
,0.138,0.362
,0.137,0.356
,0.133,0.355
,0.134,0.356
,0.136,0.361
,0.136,0.356
,0.137,0.357
,0.138,0.359
,0.121,0.325
,0.121,0.329
,0.127,0.334
,0.133,0.349
,0.131,0.343
,0.135,0.354
,0.105,0.278
,0.111,0.294
,0.11,0.29
,0.126,0.338
,0.124,0.338
,0.126,0.343
,0.147,0.332
,0.129,0.336
,0.131,0.342
,0.134,0.345
,0.134,0.347
,0.133,0.343
,0.131,0.355
,0.131,0.352
,0.133,0.354
,0.14,0.369
,0.141,0.37
,0.138,0.366
,0.138,0.349
,0.134,0.34
,0.135,0.344
,0.145,0.375
,0.146,0.376
,0.146,0.374
,0.161,0.423
,0.165,0.434
,0.163,0.43
,0.129,0.346
,0.128,0.344
,0.131,0.35
,0.14,0.377
,0.14,0.379
,0.14,0.38
,0.116,0.305
,0.115,0.305
,0.115,0.305
,0.127,0.334
,0.127,0.334
,0.13,0.34
,0.156,0.405
,0.157,0.409
,0.161,0.42
