id,abs_649,abs_665
blk,0,0
blk,-0.001,-0.001
blk,0.001,0.001
1,0.127,0.327
1,0.126,0.329
1,0.124,0.326
2,0.119,0.31
2,0.127,0.328
2,0.125,0.327
3,0.11,0.289
3,0.114,0.297
3,0.112,0.294
4,0.151,0.389
4,0.154,0.397
4,0.154,0.398
5,0.131,0.341
5,0.133,0.347
5,0.135,0.351
6,0.112,0.293
6,0.116,0.302
6,0.117,0.305
7,0.102,0.259
7,0.102,0.265
7,0.102,0.266
8,0.121,0.317
8,0.126,0.325
8,0.122,0.321
9,0.102,0.277
9,0.108,0.286
9,0.107,0.29
10,0.113,0.292
10,0.116,0.296
10,0.118,0.303
11,0.133,0.35
11,0.139,0.361
11,0.143,0.372
12,0.141,0.365
12,0.145,0.372
12,0.139,0.363
13,0.138,0.36
13,0.138,0.362
13,0.137,0.356
14,0.133,0.355
14,0.134,0.356
14,0.136,0.361
15,0.136,0.356
15,0.137,0.357
15,0.138,0.359
16,0.121,0.325
16,0.121,0.329
16,0.127,0.334
17,0.133,0.349
17,0.131,0.343
17,0.135,0.354
18,0.105,0.278
18,0.111,0.294
18,0.11,0.29
19,0.126,0.338
19,0.124,0.338
19,0.126,0.343
20,0.147,0.332
20,0.129,0.336
20,0.131,0.342
21,0.134,0.345
21,0.134,0.347
21,0.133,0.343
22,0.131,0.355
22,0.131,0.352
22,0.133,0.354
23,0.14,0.369
23,0.141,0.37
23,0.138,0.366
24,0.138,0.349
24,0.134,0.34
24,0.135,0.344
25,0.145,0.375
25,0.146,0.376
25,0.146,0.374
26,0.161,0.423
26,0.165,0.434
26,0.163,0.43
27,0.129,0.346
27,0.128,0.344
27,0.131,0.35
28,0.14,0.377
28,0.14,0.379
28,0.14,0.38
29,0.116,0.305
29,0.115,0.305
29,0.115,0.305
30,0.127,0.334
30,0.127,0.334
30,0.13,0.34
31,0.156,0.405
31,0.157,0.409
31,0.161,0.42
