TOA5,CR1000,CR1000,86673,CR1000.Std.31.03,CPU:Chieppa_8sensors variable voltage.CR1,13783,Quantum,,,,
TIMESTAMP,RECORD,BattV_Min,PanelT,PPF(1),PPF(2),PPF(3),PPF(4),PPF(5),PPF(6),PPF(7),PPF(8)
TS,RN,,,,,,,,,,
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
6/7/2024 9:10,84083,13.61143,21.45136,1.709875,1.709875,1.709875,1.709875,1.709875,0,1.709875,0
6/7/2024 9:15,84084,13.61048,21.50558,1.709795,4.274488,1.709795,1.709795,1.709795,0,1.709795,0
6/7/2024 9:20,84085,13.60482,21.50558,1.709839,1.709839,5.129517,1.709839,1.709839,0,0,0
6/7/2024 9:25,84086,13.6048,21.5598,0,16.2433,20.51785,1.709821,1.709821,0.8549103,1.709821,1.709821
6/7/2024 9:30,84087,13.60522,21.58692,20.51674,12.82296,37.61402,1.709728,11.11323,0.854864,18.80701,22.22646
6/7/2024 9:35,84088,13.60952,21.61628,17.9527,27.3565,21.37227,96.60265,11.11358,29.92117,69.24614,44.45432
6/7/2024 9:40,84089,13.60896,21.78121,14.5335,7.694205,23.93753,52.14961,1.709823,20.51788,17.09823,29.92191
6/7/2024 9:45,84090,13.61016,21.88965,280.3985,336.8201,440.2598,92.32632,335.9652,10.25848,58.98626,27.35595
6/7/2024 9:50,84091,13.60339,22.02973,105.145,157.2901,206.8706,495.8056,269.2737,175.2417,5.129024,41.88703
6/7/2024 9:55,84092,13.6089,22.16755,359.0048,289.7682,247.0295,273.5275,235.0627,389.7766,419.6937,589.7936
6/7/2024 10:00,84093,13.60328,22.27825,225.6677,195.7496,427.4009,473.5602,270.1174,177.7988,103.431,558.1856
6/7/2024 10:05,84094,13.6028,22.33473,318.8383,229.9397,226.5205,520.5698,270.115,95.73697,379.5287,290.6301
6/7/2024 10:10,84095,13.60284,22.44769,576.976,276.9485,241.9025,274.3841,270.1102,176.9393,291.4797,328.2352
6/7/2024 10:15,84096,13.60238,22.44769,313.6865,515.4032,427.3658,498.3086,238.4701,526.5147,518.8221,456.4267
6/7/2024 10:20,84097,13.60249,22.3641,357.2914,453.8798,208.5625,471.8299,290.6198,270.9603,347.0343,597.4802
6/7/2024 10:25,84098,13.60252,22.22403,580.3886,328.2315,281.2192,273.5263,418.8371,278.6549,481.2353,629.1105
6/7/2024 10:30,84099,13.60793,22.11332,314.5645,582.97,429.1069,494.9261,522.2795,440.2193,364.9973,383.8028
6/7/2024 10:35,84100,13.60309,22.00036,505.1968,277.8155,214.5591,278.6703,486.3908,502.6324,487.2456,329.1045
6/7/2024 10:40,84101,13.6085,21.94614,616.3022,582.1107,214.5518,296.6115,494.0675,441.0706,339.3509,323.9647
6/7/2024 10:45,84102,13.60331,21.91903,320.551,301.7453,430.8205,497.4951,477.8347,277.8109,511.172,628.2799
6/7/2024 10:50,84103,13.60361,21.94614,557.3471,573.5888,424.8489,262.4318,285.5121,275.2542,340.2211,600.9432
6/7/2024 10:55,84104,13.60862,21.94614,609.483,302.6045,235.0741,396.6341,270.9763,513.7438,484.6801,402.6178
6/7/2024 11:00,84105,13.60414,22.00036,319.7154,584.7202,211.149,509.493,267.5693,505.2188,395.7974,328.2639
6/7/2024 11:05,84106,13.60962,22.02973,496.6304,275.2409,447.0529,273.5314,304.3036,264.9835,405.1684,304.3036
6/7/2024 11:10,84107,13.60985,22.05684,600.0702,588.9578,427.4004,433.384,496.6393,257.295,474.4145,608.6182
6/7/2024 11:15,84108,13.60434,22.05684,311.132,314.5511,346.1772,523.9669,486.3575,534.224,316.2606,591.4928
6/7/2024 11:20,84109,13.60326,22.11332,429.9704,480.4043,230.7992,274.3947,491.5169,535.1123,557.3374,540.2411
6/7/2024 11:25,84110,13.60364,22.14043,576.1362,490.6561,229.0868,519.7194,450.4804,254.7309,261.5693,288.0681
6/7/2024 11:30,84111,13.60301,22.16755,279.5141,288.062,311.9959,428.2464,258.9993,275.2402,543.6422,329.0916
6/7/2024 11:35,84112,13.60939,22.19465,341.9311,571.8798,457.3329,254.7387,270.9804,456.478,298.3349,394.9304
6/7/2024 11:40,84113,13.60313,22.16755,576.9893,311.1469,427.3995,494.9286,253.0205,500.0574,537.6686,633.4061
