date.time.pre,ppf1.ch5.hlv,ppf2.ch6.hlv,ppf3.ch6.llv,ppf4.ch4.llv,ppf5.ch5.llv,ppf6.ch4.hlv,ppf7.ch3.hlv,ppf8.ch3.llv,date.time.post,ppf1.ch1.llv,ppf4.ch2.llv,ppf5.ch1.hlv,ppf6.ch2.hlv
6/25/2024 0:00,0,0,0,0,0,0,0,0,7/30/2024 0:00,0,0,0,0
6/25/2024 0:05,0,0,0,0,0,0,0,0,7/30/2024 0:05,0,0,0,0
6/25/2024 0:10,0,0,0,0,0,0,0,0,7/30/2024 0:10,0,0,0,0
6/25/2024 0:15,0,0,0,0,0,0,0,0,7/30/2024 0:15,0,0,0,0
6/25/2024 0:20,0,0,0,0,0,0,0,0,7/30/2024 0:20,0,0,0,0
6/25/2024 0:25,0,0,0,0,0,0,0,0,7/30/2024 0:25,0,0,0,0
6/25/2024 0:30,0,0,0,0,0,0,0,0,7/30/2024 0:30,0,0,0,0
6/25/2024 0:35,0,0,0,0,0,0,0,0,7/30/2024 0:35,0,0,0,0
6/25/2024 0:40,0,0,0,0,0,0,0,0,7/30/2024 0:40,0,0,0,0
6/25/2024 0:45,0,0,0,0,0,0,0,0,7/30/2024 0:45,0,0,0,0
6/25/2024 0:50,0,0,0,0,0,0,0,0,7/30/2024 0:50,0,0,0,0
6/25/2024 0:55,0,0,0,0,0,0,0,0,7/30/2024 0:55,0,0,0,0
6/25/2024 1:00,0,0,0,0,0,0,0,0,7/30/2024 1:00,0,0,0,0
6/25/2024 1:05,0,0,0,0,0,0,0,0,7/30/2024 1:05,0,0,0,0
6/25/2024 1:10,0,0,0,0,0,0,0,0,7/30/2024 1:10,0,0,0,0
6/25/2024 1:15,0,0,0,0,0,0,0,0,7/30/2024 1:15,0,0,0,0
6/25/2024 1:20,0,0,0,0,0,0,0,0,7/30/2024 1:20,0,0,0,0
6/25/2024 1:25,0,0,0,0,0,0,0,0,7/30/2024 1:25,0,0,0,0
6/25/2024 1:30,0,0,0,0,0,0,0,0,7/30/2024 1:30,0,0,0,0
6/25/2024 1:35,0,0,0,0,0,0,0,0,7/30/2024 1:35,0,0,0,0
6/25/2024 1:40,0,0,0,0,0,0,0,0,7/30/2024 1:40,0,0,0,0
6/25/2024 1:45,0,0,0,0,0,0,0,0,7/30/2024 1:45,0,0,0,0
6/25/2024 1:50,0,0,0,0,0,0,0,0,7/30/2024 1:50,0,0,0,0
6/25/2024 1:55,0,0,0,0,0,0,0,0,7/30/2024 1:55,0,0,0,0
6/25/2024 2:00,0,0,0,0,0,0,0,0,7/30/2024 2:00,0,0,0,0
6/25/2024 2:05,0,0,0,0,0,0,0,0,7/30/2024 2:05,0,0,0,0
6/25/2024 2:10,0,0,0,0,0,0,0,0,7/30/2024 2:10,0,0,0,0
6/25/2024 2:15,0,0,0,0,0,0,0,0,7/30/2024 2:15,0,0,0,0
6/25/2024 2:20,0,0,0,0,0,0,0,0,7/30/2024 2:20,0,0,0,0
6/25/2024 2:25,0,0,0,0,0,0,0,0,7/30/2024 2:25,0,0,0,0
6/25/2024 2:30,0,0,0,0,0,0,0,0,7/30/2024 2:30,0,0,0,0
6/25/2024 2:35,0,0,0,0,0,0,0,0,7/30/2024 2:35,0,0,0,0
6/25/2024 2:40,0,0,0,0,0,0,0,0,7/30/2024 2:40,0,0,0,0
6/25/2024 2:45,0,0,0,0,0,0,0,0,7/30/2024 2:45,0,0,0,0
6/25/2024 2:50,0,0,0,0,0,0,0,0,7/30/2024 2:50,0,0,0,0
6/25/2024 2:55,0,0,0,0,0,0,0,0,7/30/2024 2:55,0,0,0,0
6/25/2024 3:00,0,0,0,0,0,0,0,0,7/30/2024 3:00,0,0,0,0
6/25/2024 3:05,0,0,0,0,0,0,0,0,7/30/2024 3:05,0,0,0,0
6/25/2024 3:10,0,0,0,0,0,0,0,0,7/30/2024 3:10,0,0,0,0
6/25/2024 3:15,0,0,0,0,0,0,0,0,7/30/2024 3:15,0,0,0,0
6/25/2024 3:20,0,0,0,0,0,0,0,0,7/30/2024 3:20,0,0,0,0
